"friendsCount","gender","homeCity","tips","lists","badges","mayorships","photos","checkins","_id"
"109","male","7316 N. Winchester Ave. Chicago, IL 60626","0","2","0","0","0","688","102525"
"16","female","Novi, MI","0","2","0","0","0","189","435696"
"30","male","Chicago, IL","0","2","0","0","0","266","519655"
"184","male","Justice, IL","1","2","0","0","0","2396","269286"
"498","male","Chicago, IL","9","4","0","0","0","5061","542340"
"30","male","Niles, IL","6","2","0","0","0","1389","450717"
"40","female","Chicago, IL","1","2","0","0","0","968","274747"
"211","male","Brooklyn, NY","44","6","0","0","0","5444","914563"
"42","male","Cedar Rapids, IA","11","5","0","0","0","1274","337870"
"121","male","Chicago, IL","0","2","0","0","0","1791","122895"
"11","female","Normal, IL","0","2","0","0","0","144","538938"
"14","male","Hamler, OH","0","2","0","0","0","208","267396"
"715","male","Chicago, IL","0","2","0","0","0","1309","533366"
"168","male","Milwaukee, WI","1","4","0","0","0","754","836077"
"20","male","Birmingham, UK","16","2","0","0","0","1581","656438"
"183","female","Ampang","0","2","0","0","0","1189","867133"
"24","female","Elmhurst, IL","0","2","0","0","0","744","345352"
"206","female","Las Vegas, NV","16","5","0","0","0","864","944331"
"33","female","Chicago, Illinois","2","2","0","0","0","0","511985"
"5","male","Riyadh, 10","1","2","0","0","0","98","499380"
"129","female","Los Angeles, CA","3","6","0","0","0","2227","808242"
"39","male","Winston-Salem, NC","11","2","0","0","0","1306","791475"
"18","male","None","0","2","0","0","0","30","418577"
"80","male","West Covina, CA","0","4","0","0","0","10362","257069"
"71","female","Cebu","0","2","0","0","0","185","917902"
"75","male","Chicago","1","5","0","0","0","225","331398"
"33","male","Chicago, IL","0","2","0","0","0","766","105385"
"70","male","St. Louis","8","2","0","0","0","1342","723626"
"50","male","None","6","2","0","0","0","625","197108"
"43","female","Chicago","2","2","0","0","0","1608","764841"
"42","female","Seoulite, KOR ✌️","16","3","0","0","0","2282","991296"
"29","male","Chicago, IL","0","2","0","0","0","1027","136519"
"175","female","East Brunswick, NJ","7","2","0","0","0","2542","178472"
"62","male","Chicago, IL","0","2","0","0","0","581","969495"
"118","female","Chicago, IL","14","2","0","0","0","853","782876"
"216","male","Ciudad Autónoma de Buenos Aires, Argentina","4","8","0","0","0","1082","158472"
"122","male","Boynton Beach, FL","34","6","0","0","0","1971","556873"
"76","male","Chicago, IL","7","2","0","0","0","4155","309234"
"183","female","Chicago, IL","0","2","0","0","0","919","170281"
"20","female","Chicago, IL","0","2","0","0","0","360","278563"
"32","male","Naperville, IL","11","2","0","0","0","800","773656"
"13","male","Chicago, IL","20","3","0","0","0","3882","116960"
"46","None","Chicago, IL","2","2","0","0","0","873","645424"
"59","male","Villa Park, IL","47","5","0","0","0","3546","257848"
"134","male","Chicago, IL","8","3","0","0","0","3433","796335"
"22","None","Chicago, IL","1","2","0","0","0","1591","710022"
"74","male","Miami, FL","1","2","0","0","0","9419","296132"
"222","male","Buffalo, NY","1","2","0","0","0","3986","661125"
"217","male","Chicago, IL","5","5","0","0","0","2238","898699"
"53","female","Lagrange, IL","11","4","0","0","0","4109","526264"
"57","female","Chicago, IL","16","2","0","0","0","5160","132115"
"124","female","Chicago, IL","79","11","0","0","0","5698","977211"
"246","female","Istanbul Antakya","4","2","0","0","0","792","348553"
"38","male","Illinois","2","2","0","0","0","739","684909"
"19","male","Montevideo, Uruguay","9","2","0","0","0","1686","705403"
"39","male","Chicago, IL","0","2","0","0","0","545","484741"
"18","male","Chicago, IL","1","2","0","0","0","3546","543253"
"56","male","Chicago, IL","0","2","0","0","0","31","792457"
"27","female","Oak Park, IL","4","2","0","0","0","1446","440360"
"248","male","Chicago, IL","5","2","0","0","0","1882","726138"
"23","male","Chicago, IL","8","6","0","0","0","568","790036"
"39","male","Lemont, Illinois","0","14","0","0","0","206","675536"
"38","female","River North, Chicago, IL","35","15","0","0","0","3019","366802"
"113","female","Illinois,USA","1","2","0","0","0","1683","709383"
"47","female","Chicago, IL","28","2","0","0","0","1419","741179"
"23","male","Marietta, GA","0","3","0","0","0","809","981434"
"45","male","Chicago, IL","0","3","0","0","0","2235","863484"
"946","female","San Diego, CA","39","7","0","0","0","4060","913507"
"51","male","Los Angeles, CA","10","2","0","0","0","1669","113693"
"106","male","Chicago, IL","7","2","0","0","0","749","257011"
"54","male","Chicago, IL","33","4","0","0","0","5076","929096"
"16","female","Chicago, Il","48","3","0","0","0","356","170831"
"212","female","Detroit, MI","23","4","0","0","0","4379","361377"
"172","male","Chicago, IL","5","3","0","0","0","2966","463018"
"103","male","San Francisco, CA","0","2","0","0","0","2861","969096"
"376","male","Edwardsville,IL","88","5","0","0","0","2213","156843"
"19","female","Burnsville, MN","1","2","0","0","0","684","871209"
"199","male","Portland, OR","7","3","0","0","0","2672","254097"
"10","male","Chicago, IL","1","5","0","0","0","818","972263"
"61","female","Chicago, IL","14","4","0","0","0","1488","849234"
"69","female","Chicago, IL","14","2","0","0","0","919","327958"
"70","male","Chicago, IL","43","3","0","0","0","2749","690662"
"56","male","Cincinnati, OH","10","3","0","0","0","899","514092"
"15","None","New Jersey","0","2","0","0","0","609","951800"
"31","female","Cincinnati, OH","1","2","0","0","0","361","775905"
"246","male","Toronto, Canada","8","2","0","0","0","1751","148167"
"265","male","Chicago, IL","87","6","0","0","0","2519","905308"
"35","female","Chicago, IL","0","2","0","0","0","1285","597256"
"56","male","Chicago, IL","6","2","0","0","0","2056","281317"
"91","female","La Crosse, WI","4","3","0","0","0","301","917151"
"23","female","Chicago, IL","6","2","0","0","0","592","397710"
"85","male","Chicago, IL","9","3","0","0","0","1506","132153"
"39","male","Chicago, IL","18","14","0","0","0","3463","495564"
"173","male","Chicago, IL","3","2","0","0","0","297","266837"
"234","male","Kansas City, MO","16","3","0","0","0","619","604235"
"107","male","Chicago ","17","3","0","0","0","5647","547467"
"176","male","Chicago, IL","18","3","0","0","0","3277","479199"
"89","male","Chicago Illinois ","2","2","0","0","0","1937","760750"
"89","female","Chicago, IL","34","5","0","0","0","1976","357313"
"21","female","Carol Stream, IL","0","2","0","0","0","369","669407"
"260","male","Chicago, IL","17","3","0","0","0","4331","873120"
"63","None","Chicago, IL","5","4","0","0","0","1486","167237"
"52","male","ASTORIA, NY","23","2","0","0","0","3612","284273"
"135","female","Izmir","23","3","0","0","0","559","760528"
"12","female","Evanston, IL","6","3","0","0","0","248","578869"
"53","male","Chicago, IL","1","3","0","0","0","394","302450"
"90","female","Chicago, IL","19","2","0","0","0","730","634412"
"46","male","Chicago","31","5","0","0","0","1039","423389"
"152","male","Sheboygan, WI","27","3","0","0","0","3525","526969"
"153","male","Chicago, IL","32","3","0","0","0","3952","814608"
"197","male","Chicago, IL","9","2","0","0","0","1574","511928"
"23","female","Petaluma, CA","6","2","0","0","0","992","332877"
"64","male","Chicago, IL","30","4","0","0","0","1548","287746"
"34","female","Chicago","52","2","0","0","0","2776","209249"
"32","female","Chicago, IL","6","2","0","0","0","634","235461"
"27","male","NY","0","4","0","0","0","1806","863752"
"514","male","Chicago, IL","2","3","0","0","0","2227","921651"
"101","female","Chicago, IL","8","2","0","0","0","3670","546215"
"47","female","Chicago, IL","0","2","0","0","0","1082","401414"
"153","male","Edmond, OK","12","2","0","0","0","2387","572841"
"79","female","Chicago, IL","6","2","0","0","0","384","701300"
"13","male","Chicago, IL","2","2","0","0","0","2212","233495"
"61","female","60622","1","2","0","0","0","2072","280190"
"52","female","Chicago, Il","25","3","0","0","0","11011","456601"
"187","male","Chicago, IL","22","5","0","0","0","1137","460353"
"26","male","Indianapolis, IN","6","5","0","0","0","4335","343750"
"104","male","Chicago, IL","19","2","0","0","0","1573","989431"
"1","male","Atlanta, GA","1","2","0","0","0","345","507301"
"36","female","Chicago, IL","4","2","0","0","0","1020","438659"
"268","male","Chicago, IL","1","3","0","0","0","5061","504448"
"22","male","Elwood, IL","9","3","0","0","0","908","632075"
"15","male","Chicago, il","2","2","0","0","0","379","819963"
"84","male","Washington D.C., DC","25","3","0","0","0","18037","995318"
"13","male","Oak Lawn, IL","2","4","0","0","0","1182","238978"
"24","female","Chicago","0","2","0","0","0","407","893581"
"332","male","Chicago, IL","13","2","0","0","0","982","263082"
"27","male","Chicago, IL","12","2","0","0","0","1707","983889"
"524","male","Kansas City, MO","2","2","0","0","0","781","238454"
"785","male","Minas Gerais","13","3","0","0","0","5777","809915"
"14","male","Chicago, IL","5","2","0","0","0","545","556968"
"32","None","Chicago, IL","13","2","0","0","0","4161","740224"
"96","male","Chicago, IL","3","10","0","0","0","1400","184330"
"102","female","Thailand","0","2","0","0","0","849","250431"
"79","female","Chicago, IL","3","3","0","0","0","791","411691"
"139","male","Chicago, IL","5","2","0","0","0","1101","783826"
"113","female","Chicago, IL","4","2","0","0","0","175","687198"
"93","male","Distrito Federal","2","2","0","0","0","568","171154"
"12","male","Chicago, IL","1","2","0","0","0","107","475646"
"92","male","Chicago IL","10","4","0","0","0","2938","105667"
"190","male","Chicago, IL","12","2","0","0","0","2048","900885"
"48","female","New York, New York","3","2","0","0","0","579","259130"
"42","female","Michigan","4","2","0","0","0","1287","211544"
"185","female","Chicago, IL","7","5","0","0","0","1450","776653"
"84","male","New York, NY","2","2","0","0","0","4368","704616"
"94","female","Chicago, IL","16","12","0","0","0","2204","745071"
"54","male","Illinois","9","7","0","0","0","270","402588"
"37","female","Chicago, IL","16","2","0","0","0","2029","143840"
"469","male","Chicago, IL","38","2","0","0","0","2809","240801"
"67","female","Boston, MA","10","2","0","0","0","2238","274116"
"16","male","Chicago, IL","5","2","0","0","0","433","687233"
"30","female","Chicago, IL","1","3","0","0","0","1263","255428"
"65","male","Chicago","1","2","0","0","0","597","833672"
"710","male","Austin, TX","130","11","0","0","0","3651","288427"
"108","female","Unnamed Location","7","2","0","0","0","2771","623652"
"123","female","Chicago, IL","7","2","0","0","0","3042","527433"
"274","male","Chicago, IL","5","2","0","0","0","2784","830208"
"88","female","Chicago, IL","1","4","0","0","0","1455","271796"
"36","female","None","0","2","0","0","0","521","553523"
"46","male","Chicago, IL","0","2","0","0","0","921","242692"
