"friendsCount","gender","homeCity","tips","lists","badges","mayorships","photos","checkins","_id"
"27","female","Moskva","0","2","0","0","0","246","529894"
"42","male","Moskow","62","8","0","0","0","10255","204718"
"14","male","Moscow, Moskva","0","2","0","0","0","367","293901"
"908","male","Москва, Россия","15","3","0","0","0","6168","386015"
"933","male","Moskva","6","2","0","0","0","1359","760875"
"198","male","город Москва, Россия","5","2","0","0","0","1456","618240"
"95","male","Moskva","36","2","0","0","0","815","654403"
"89","male","Moscow, Moscow","0","2","0","0","0","2163","596258"
"20","male","None","0","2","0","0","0","85","423350"
"35","male","Moscow, Moscow","0","2","0","0","0","39","509341"
"443","female","Moscow, 66","8","13","0","0","0","1199","817794"
"37","female","None","1","3","0","0","0","2701","335290"
"116","male","Moskva","3","2","0","0","0","422","184667"
"63","female","Moskva","4","4","0","0","0","465","458507"
"61","female","Miami, Florida","0","4","0","0","0","404","272931"
"0","male","Moscow","0","2","0","0","0","1865","925689"
"418","female","город Москва, Россия","28","3","0","0","0","1983","695488"
"166","female","Moscow","167","28","0","0","0","3055","335940"
"45","female","Moscow, RF","10","4","0","0","0","1296","402813"
"107","female","Rostov","2","2","0","0","0","300","508392"
"28","male","Moskva","0","3","0","0","0","214","359522"
"34","male","Russia, Moscow","16","3","0","0","0","1706","438128"
"96","male","Moscow","49","14","0","0","0","23592","599335"
"21","male","Moskva","2","2","0","0","0","1073","447591"
"28","female","Moscow","0","2","0","0","0","242","125211"
"155","female","Москва, Россия","2","3","0","0","0","1391","716992"
"7","female","Moscow","6","3","0","0","0","658","808302"
"39","female","Russia, Moscow 🇷🇺","7","2","0","0","0","1670","595562"
"19","female","Moscow, Russia","22","2","0","0","0","939","165268"
"11","female","Moskovsskaya","0","2","0","0","0","67","192243"
"16","None","Moskva","0","6","0","0","0","579","380513"
"19","female","Moscow","65","2","0","0","0","879","537814"
"94","female","город Москва, Россия","28","2","0","0","0","3339","763185"
"116","female","Moscow","0","5","0","0","0","143","480918"
"10","male","Moscow, 48","0","2","0","0","0","43","391596"
"65","male","None","24","2","0","0","0","3021","916020"
"11","female","None","0","2","0","0","0","39","984876"
"26","female","Moscow","2","2","0","0","0","551","112727"
"684","female","None","148","11","0","0","0","10260","282484"
"214","male","город Москва, Россия","1","2","0","0","0","487","643873"
"42","male","Moskovsskaya","4","2","0","0","0","1956","141672"
"127","male","Moscow","6","3","0","0","0","3748","166137"
"28","female","Moscow, 48","1","2","0","0","0","262","857916"
"47","female","Москва","1","2","0","0","0","405","793144"
"26","female","Moscow, 48","2","2","0","0","0","173","349123"
