"friendsCount","gender","homeCity","tips","lists","badges","mayorships","photos","checkins","_id"
"128","male","Somewhere in the USA","26","4","0","0","0","6646","678645"
"10","male","NY","12","2","0","0","0","231","379938"
"70","male","Flushing, NY","0","2","0","0","0","472","681353"
"73","male","New York, New York","22","12","0","0","0","2249","688693"
"129","female","New York, NY","0","2","0","0","0","481","895744"
"52","female","Brooklyn, NY","30","2","0","0","0","1506","289211"
"20","female","Champaign, IL","8","2","0","0","0","240","187312"
"10","female","New York, NY","3","2","0","0","0","396","330907"
"59","male","Brooklyn, NY","1","2","0","0","0","1312","170288"
"29","female","NY","9","2","0","0","0","1257","652267"
"104","male","New York, NY","1","2","0","0","0","1957","451528"
"44","male","Brooklyn, NY","24","12","0","0","0","1393","479896"
"45","male","Commack, NY","9","3","0","0","0","781","886479"
"81","female","New York, NY","16","3","0","0","0","1480","394916"
"89","male","Moscow, Moscow","0","2","0","0","0","2163","596258"
"165","female","New York, NY","19","30","0","0","0","3338","552951"
"211","male","Brooklyn, NY","44","6","0","0","0","5444","914563"
"21","female","Cedar Hill, TX","5","2","0","0","0","1615","105568"
"55","male","New York, NY","11","4","0","0","0","2333","578423"
"37","female","New York, NY","2","5","0","0","0","791","524156"
"147","male","Washington, DC","4","2","0","0","0","3384","203513"
"91","male","Brooklyn, NY","4","2","0","0","0","1627","213866"
"35","female","Woodside, NY","6","7","0","0","0","1183","605419"
"98","female","Brooklyn, New York","21","11","0","0","0","2106","342745"
"65","male","New York, New York","79","46","0","0","0","3134","796935"
"37","male","NYC! (Billyburg)","13","3","0","0","0","988","553654"
"85","female","NYC","5","3","0","0","0","4339","122029"
"88","male","NYC","2","4","0","0","0","392","832739"
"153","female","New York, NY","14","12","0","0","0","7847","653912"
"73","female","New York, NY","14","22","0","0","0","1400","350228"
"94","female","New York, NY","52","5","0","0","0","3917","945868"
"8","male","Norwalk, CT","2","2","0","0","0","216","214891"
"129","female","Manchester, NH","19","2","0","0","0","2725","583475"
"28","female","New York, NY","0","4","0","0","0","587","856905"
"102","female","Newark, DE","13","3","0","0","0","7153","449412"
"149","male","Brooklyn, NY","29","6","0","0","0","826","656982"
"36","female","Minneapolis, MN","0","2","0","0","0","569","868355"
"178","male","Brooklyn, NY","0","7","0","0","0","1275","231879"
"49","female","New York, NY","0","2","0","0","0","1284","240072"
"42","None","Pristina, 20","1","2","0","0","0","176","582249"
"205","male","Medellín, Colombia","12","5","0","0","0","1996","149574"
"293","female","New York, NY","29","5","0","0","0","3260","321201"
"222","male","Chicago, IL","10","2","0","0","0","2197","974918"
"57","female","New York, NY","3","2","0","0","0","1311","671137"
"14","male","Bronx, NY","0","2","0","0","0","278","437942"
"16","male","New York, NY","0","2","0","0","0","143","708224"
"47","female","Queens, NY","6","2","0","0","0","3222","549317"
"101","female","New York ","2","2","0","0","0","1201","521677"
"64","male","Bangkok Metropolis","1","3","0","0","0","978","613774"
"102","male","SF","1","5","0","0","0","1545","609126"
"15","male","New York, NY","18","3","0","0","0","5384","396445"
"186","female","Brooklyn, NY","155","24","0","0","0","2506","869627"
"52","male","New York, NY","2","3","0","0","0","1084","285684"
"67","male","Brooklyn NY","38","3","0","0","0","1847","313229"
"53","female","New York","0","2","0","0","0","459","915562"
"934","male","Teresina, 20","0","2","0","0","0","1273","316026"
"32","None","New York, NY","0","2","0","0","0","739","711887"
"46","female","New York, NY","8","3","0","0","0","687","560523"
"51","male","Singapore","15","2","0","0","0","480","635406"
"24","female","NYC","2","2","0","0","0","894","574825"
"42","female","Brooklyn, NY","3","2","0","0","0","2901","917612"
"210","male","Los Angeles, CA","243","19","0","0","0","4525","400052"
"15","female","New York, NY","22","4","0","0","0","3731","607356"
"57","male","Rochester, New York","1","3","0","0","0","3206","867497"
"55","female","Moscow","6","2","0","0","0","1497","319004"
"135","male","Nutley, NJ","16","7","0","0","0","1431","710506"
"43","male","New York, NY","1","6","0","0","0","489","533382"
"22","female","Paramus, NJ","0","2","0","0","0","292","287615"
"81","female","New York, NY","0","2","0","0","0","1887","764611"
"216","male","Ciudad Autónoma de Buenos Aires, Argentina","4","8","0","0","0","1082","158472"
"314","female","Los Angeles","7","6","0","0","0","771","742345"
